YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,3,1,34.77857143,0.927452179,2,33600,700,1,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,76000,1680,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,2,75800,1232,3,2,1,2,1
2014,1,1,1,4.816666667,0.927452179,2,50400,1122,1,2,1,2,1
2014,1,3,1,34.77857143,0.927452179,1,42700,896,1,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,84700,1568,3,2,3,2,1
2014,1,1,2,2.408333333,1.081805946,2,69800,1000,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,87300,1568,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,99200,1917,3,1,3,1,9
2014,1,3,2,17.38928571,1.081805946,2,55400,1904,3,2,3,1,9
2014,1,3,2,17.38928571,1.081805946,1,90000,1248,1,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,84000,1792,3,1,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,79400,2048,3,1,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,86200,1536,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,43600,924,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,108000,2176,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,66000,1120,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,1,67900,1920,3,9,9,9,9
2014,1,3,2,17.38928571,1.081805946,1,72900,1792,3,9,9,9,9
2014,1,4,2,5.784210526,1.081805946,2,90000,1248,3,2,1,3,1
2014,1,3,2,2.427272727,1.081805946,2,94900,1792,3,2,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,143000,1904,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,87300,1568,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,55200,1568,3,2,3,3,1
2014,1,4,2,5.784210526,1.081805946,2,101000,1344,3,2,1,1,9
2014,1,2,2,2.427272727,1.081805946,2,87300,1568,3,2,3,3,1
